MinimumDistance,MaximumDistance,AverageDistance,StdDev,,
46.94854,96.53751,68.14807,10.22303,,
42.247826,102.51685,72.80314,11.783709,,
51.75368,97.28769,71.53612,8.118206,,
1.2046325,101.605835,42.61013,20.537056,,
9.773244,119.89453,58.595936,18.384163,,
5.6021123,155.23137,73.75379,40.129986,,
35.62995,111.18452,71.59657,13.657469,,
35.62995,111.18452,71.59657,13.657469,,
37.382343,118.10407,78.01835,14.249925,,
4.282739,80.25692,45.6197,13.235714,,
45.70914,99.064384,72.50967,9.409118,,
1.901564,78.662926,42.90973,12.810728,,
1.901564,78.662926,42.90973,12.810728,,
53.71063,107.86201,78.98563,9.403027,,
52.90797,112.998474,78.77389,9.9886875,,
31.003866,138.44817,90.9204,22.421616,,
60.828033,157.57433,106.84394,17.488192,,
43.570843,110.31795,70.129616,11.105702,,
41.341953,110.51546,76.36702,13.095592,,
49.06004,75.10621,61.3114,5.2810874,,
33.86257,110.25432,72.837395,13.159017,,
28.450315,98.291084,65.72797,13.316839,,
28.450315,98.291084,65.72797,13.316839,,
35.760414,138.75627,86.37715,18.692072,,
47.784927,97.32345,72.5294,9.017983,,
73.21337,176.2811,122.429985,16.33301,,
37.29305,116.18027,77.49501,13.888923,,
0.5361023,67.03759,30.311855,11.389534,,
190.00981,457.85486,322.59647,68.10138,,
0.9241569,80.10131,33.95793,14.904632,,
196.35504,432.56516,312.2943,65.82565,,
37.301884,165.9993,103.27828,23.438408,,
1.4083496,84.77296,46.366566,13.567652,,
1.4083496,84.77296,46.366566,13.567652,,
1.4083496,84.77296,46.366566,13.567652,,
30.053497,115.51676,74.34254,13.204668,,
11.852995,93.44708,45.845272,13.335368,,
41.157204,103.2423,72.84221,11.947355,,
32.878475,91.2289,62.129025,13.375143,,
3.9940882,51.210056,25.6667,9.941995,,
95.47917,233.48434,165.24002,25.5921,,
155.47177,307.0823,235.06433,26.059587,,
59.40467,288.70322,164.85036,40.29813,,
125.762634,252.58536,185.1142,25.39104,,
123.57407,246.42148,186.1667,24.341219,,
103.27547,227.15292,164.47882,24.539074,,
61.04088,249.69284,161.82799,32.399464,,
97.42408,228.156,162.66339,25.512964,,
171.58215,268.7575,219.17514,24.445433,,
27.84539,123.18221,69.835014,16.087975,,
34.023174,90.118385,63.117764,12.506703,,
325.09714,449.50925,385.08063,21.929502,,
12.1556635,203.59792,103.65171,33.37539,,
346.2166,416.14752,387.39307,14.481597,,
288.4231,387.17917,343.0079,17.600101,,
17.228851,143.87914,85.16338,26.897589,,
337.7304,485.36823,413.25162,29.606285,,
1.2579695,184.77779,78.396095,30.56414,,
274.3309,457.7282,369.88474,31.327303,,
21.45788,89.59061,57.96022,12.12721,,
21.45788,89.59061,57.96022,12.12721,,
0.4426748,54.462624,22.911667,10.507846,,
1.0080332,43.856617,16.968994,7.82424,,
3.8010578,47.35775,19.735418,7.23175,,
37.001057,68.37371,52.950424,7.3908043,,
28.167353,68.92882,54.10462,9.288755,,
38.72293,103.168175,70.64692,13.773449,,
27.211643,157.85606,90.946335,27.084558,,
26.60708,64.80203,44.66963,6.7614226,,
35.049706,86.15656,61.316254,10.0018635,,
48.05333,101.58494,75.422005,12.55914,,
4.3200994,164.38625,87.70232,26.419735,,
5.0252194,179.63332,95.582565,29.192509,,
5.0252194,179.63332,95.582565,29.192509,,
1.0633464,52.269375,21.136223,9.043985,,
11.775375,82.74048,46.43041,13.402468,,
37.339664,117.75942,74.15751,13.576868,,
1.440857,74.531265,38.231785,13.416404,,
1.440857,74.531265,38.231785,13.416404,,
51.546307,148.32951,98.88746,14.270149,,
2.5741873,63.35772,33.628353,9.59573,,
2.5741873,63.35772,33.628353,9.59573,,
280.23456,424.84357,352.71283,28.847488,,
36.011692,143.34077,85.68465,18.627104,,
52.597088,110.44086,84.58846,10.535343,,
0.9796705,45.04055,19.434177,7.708303,,
1.2161717,26.975212,12.434591,4.373789,,
31.45837,165.88684,105.12004,29.932806,,
0.8351098,110.590355,47.13399,20.04874,,
1.0972809,51.325344,21.498194,9.743006,,
22.91073,174.27283,105.82365,30.87725,,
12.396168,99.94673,57.627052,15.061849,,
1.7942978,50.697975,24.184126,8.995642,,
1.2479459,59.554485,23.019896,10.174891,,
267.96997,429.09497,349.631,30.760761,,
52.484253,186.05106,117.526215,25.39728,,
56.01213,174.11316,115.844,24.22587,,
34.32947,155.84682,97.12243,25.471098,,
156.5511,340.1072,245.98643,31.47836,,
48.341293,158.78485,106.30572,25.902353,,
27.907633,151.95964,88.4197,29.425598,,
18.186447,183.15343,106.542496,28.914629,,
46.390446,180.49847,116.91992,25.187069,,
19.269339,153.08482,86.31772,28.09235,,
38.553204,230.85895,133.8514,35.638668,,
32.274994,162.97035,95.61316,22.75875,,
32.274994,162.97035,95.61316,22.75875,,
1.5298822,94.16165,43.034637,17.026968,,
1.2620705,83.99363,43.434322,13.849382,,
1.2620705,83.99363,43.434322,13.849382,,
388.9061,603.6395,480.38565,49.682373,,
1.2446759,56.086506,24.467474,10.517106,,
10.1739025,101.56843,57.880943,16.093657,,
0.66866726,38.932194,15.579004,5.9953313,,
