Node1,Node2,MinimumDistance,MaximumDistance,AverageDistance,StdDev,Label
10,532,61.968185,182.93484,114.003456,31.452358,1
11,18,61.968185,182.93484,114.003456,31.452358,1
12,13,61.968185,182.93484,114.003456,31.452358,1
14,15,15.079299,108.02148,58.700787,16.521832,1
14,52,8.873596,145.86122,82.50735,23.687626,1
14,54,27.121582,86.334236,54.88552,12.24658,1
14,701,18.316332,83.8833,52.193874,14.655231,1
14,731,28.091307,104.43895,60.67448,13.048471,1
15,42,51.7102,98.786995,76.253136,7.607046,1
15,424,86.12068,183.83406,136.24306,16.284576,1
15,852,31.418573,87.94555,55.730953,9.872418,1
15,1877,31.418573,87.94555,55.730953,9.872418,1
15,41,1.4425747,92.43647,40.6756,16.246532,1
15,2209,0.69381094,50.838814,21.994324,8.730376,1
15,2461,0.83440125,50.13447,21.9219,8.608931,1
15,2460,0.66281694,65.26443,23.47391,11.016537,1
16,895,5.9761987,138.70549,78.2588,24.64034,1
16,42,42.264347,99.434814,69.45838,10.081036,1
16,1596,33.88181,115.87555,74.30451,12.783739,1
16,1877,33.88181,115.87555,74.30451,12.783739,1
16,1194,3.491194,78.3559,34.78728,18.285471,1
16,2599,3.9932482,81.406815,35.249046,12.980183,1
18,40,1.5865234,76.39668,37.403683,11.984444,1
18,211,1.5163132,53.237305,23.225153,9.392731,1
18,1126,1.5125726,69.90657,35.570377,14.803933,1
18,1027,14.552687,85.861115,55.78165,13.626037,1
19,193,64.23639,153.445,109.92077,16.612192,1
21,22,288.10605,493.30713,381.073,37.263157,1
21,423,291.44107,426.1173,357.1898,27.909435,1
21,1627,16.30936,63.50685,39.268417,7.826638,1
22,530,287.12045,483.46045,376.80634,36.268013,1
22,800,281.62732,479.83768,374.54517,36.142426,1
22,990,233.4321,412.5734,315.51086,34.103405,1
22,1007,241.1303,477.19196,345.45145,38.7179,1
22,2344,248.31467,488.1832,363.41174,38.95621,1
22,888,262.61896,450.1304,349.04276,35.031067,1
22,988,194.24467,383.99564,279.44382,32.230415,1
29,1121,0.6695195,46.40472,20.529871,8.157142,1
29,1244,11.23255,81.664154,44.939907,12.158934,1
29,849,11.23255,81.664154,44.939907,12.158934,1
29,1840,1.031154,70.47952,33.726727,11.805386,1
31,32,0.79424554,96.91952,43.436848,17.140463,1
31,72,1.199102,51.10901,19.361526,8.011755,1
31,76,1.3532734,112.01109,49.397152,19.993343,1
31,512,19.68196,160.19693,93.15004,27.801382,1
31,277,24.73789,112.42567,71.61799,14.055967,1
32,76,7.7266154,151.19142,75.7737,27.23647,1
32,72,1.0810857,83.94429,41.63465,16.681087,1
32,277,14.890063,112.17522,60.502,16.155388,1
32,279,12.246419,120.399376,69.04847,20.288656,1
32,508,0.4200394,98.96954,42.920525,17.778555,1
32,770,0.4200394,98.96954,42.920525,17.778555,1
33,1121,43.77636,109.85698,77.55475,10.787204,1
40,42,11.039868,111.703125,61.51458,15.718697,1
40,163,59.291805,125.7696,92.63546,12.804937,1
40,1279,11.649599,70.656494,42.877625,9.837397,1
40,246,0.8104688,108.02562,47.50048,20.451895,1
40,1324,0.63310534,125.40891,45.725636,19.898317,1
41,42,13.738927,92.86771,50.67777,15.998543,1
41,671,3.1646235,92.96854,34.42153,16.880892,1
41,848,0.9122382,69.0296,26.372732,10.522685,1
41,566,0.9122382,69.0296,26.372732,10.522685,1
41,732,1.4246128,102.40538,52.746136,14.473891,1
41,1888,20.361559,159.39389,87.27184,24.630735,1
42,47,98.001396,220.0707,160.86774,23.158503,1
42,51,306.80402,401.6583,357.3238,18.14923,1
42,215,34.712803,110.98285,73.18299,14.172243,1
42,539,46.05321,97.714165,67.70807,8.523454,1
42,548,23.899092,55.263176,40.711407,6.0768237,1
42,428,37.13033,99.77309,66.20199,11.7836685,1
42,550,51.527508,99.73539,77.23502,8.835304,1
42,431,25.337826,120.55457,73.03155,17.520317,1
42,130,116.51085,185.11137,150.17729,13.307051,1
42,566,116.51085,185.11137,150.17729,13.307051,1
42,535,47.68709,99.16058,72.69742,9.066115,1
42,730,44.037605,133.45126,89.650795,17.55749,1
42,732,31.91379,120.774185,80.41523,14.082132,1
42,738,32.877182,92.280396,58.228188,10.283216,1
42,671,46.94854,96.53751,68.14807,10.22303,1
42,981,42.247826,102.51685,72.80314,11.783709,1
42,54,51.75368,97.28769,71.53612,8.118206,1
42,1245,1.2046325,101.605835,42.61013,20.537056,1
42,468,9.773244,119.89453,58.595936,18.384163,1
42,1516,5.6021123,155.23137,73.75379,40.129986,1
42,613,35.62995,111.18452,71.59657,13.657469,1
42,1877,35.62995,111.18452,71.59657,13.657469,1
42,1142,37.382343,118.10407,78.01835,14.249925,1
42,196,4.282739,80.25692,45.6197,13.235714,1
42,1656,45.70914,99.064384,72.50967,9.409118,1
42,863,1.901564,78.662926,42.90973,12.810728,1
42,2131,1.901564,78.662926,42.90973,12.810728,1
42,976,53.71063,107.86201,78.98563,9.403027,1
42,1106,52.90797,112.998474,78.77389,9.9886875,1
42,966,31.003866,138.44817,90.9204,22.421616,1
42,1888,60.828033,157.57433,106.84394,17.488192,1
42,1566,43.570843,110.31795,70.129616,11.105702,1
42,1569,41.341953,110.51546,76.36702,13.095592,1
42,1262,49.06004,75.10621,61.3114,5.2810874,1
42,1261,33.86257,110.25432,72.837395,13.159017,1
42,1278,28.450315,98.291084,65.72797,13.316839,1
42,1564,28.450315,98.291084,65.72797,13.316839,1
42,590,35.760414,138.75627,86.37715,18.692072,1
42,875,47.784927,97.32345,72.5294,9.017983,1
42,1006,73.21337,176.2811,122.429985,16.33301,1
42,2926,37.29305,116.18027,77.49501,13.888923,1
43,1062,0.5361023,67.03759,30.311855,11.389534,1
43,1128,190.00981,457.85486,322.59647,68.10138,1
43,848,0.9241569,80.10131,33.95793,14.904632,1
43,1298,196.35504,432.56516,312.2943,65.82565,1
43,1299,37.301884,165.9993,103.27828,23.438408,1
43,981,1.4083496,84.77296,46.366566,13.567652,1
43,2012,1.4083496,84.77296,46.366566,13.567652,1
43,2013,1.4083496,84.77296,46.366566,13.567652,1
43,2485,30.053497,115.51676,74.34254,13.204668,1
45,58,11.852995,93.44708,45.845272,13.335368,1
45,60,41.157204,103.2423,72.84221,11.947355,1
45,701,32.878475,91.2289,62.129025,13.375143,1
45,1027,3.9940882,51.210056,25.6667,9.941995,1
45,47,95.47917,233.48434,165.24002,25.5921,1
47,51,155.47177,307.0823,235.06433,26.059587,1
47,52,59.40467,288.70322,164.85036,40.29813,1
47,235,125.762634,252.58536,185.1142,25.39104,1
47,704,123.57407,246.42148,186.1667,24.341219,1
47,701,103.27547,227.15292,164.47882,24.539074,1
47,2443,61.04088,249.69284,161.82799,32.399464,1
47,1027,97.42408,228.156,162.66339,25.512964,1
47,60,171.58215,268.7575,219.17514,24.445433,1
48,731,27.84539,123.18221,69.835014,16.087975,1
48,60,34.023174,90.118385,63.117764,12.506703,1
48,2739,325.09714,449.50925,385.08063,21.929502,1
48,2443,12.1556635,203.59792,103.65171,33.37539,1
51,60,346.2166,416.14752,387.39307,14.481597,1
51,1027,288.4231,387.17917,343.0079,17.600101,1
52,54,17.228851,143.87914,85.16338,26.897589,1
52,210,337.7304,485.36823,413.25162,29.606285,1
52,116,1.2579695,184.77779,78.396095,30.56414,1
52,1466,274.3309,457.7282,369.88474,31.327303,1
54,524,21.45788,89.59061,57.96022,12.12721,1
54,566,21.45788,89.59061,57.96022,12.12721,1
54,731,0.4426748,54.462624,22.911667,10.507846,1
54,432,1.0080332,43.856617,16.968994,7.82424,1
58,59,3.8010578,47.35775,19.735418,7.23175,1
58,60,37.001057,68.37371,52.950424,7.3908043,1
59,60,28.167353,68.92882,54.10462,9.288755,1
60,730,38.72293,103.168175,70.64692,13.773449,1
60,2443,27.211643,157.85606,90.946335,27.084558,1
60,731,26.60708,64.80203,44.66963,6.7614226,1
60,2444,35.049706,86.15656,61.316254,10.0018635,1
60,1027,48.05333,101.58494,75.422005,12.55914,1
62,1592,4.3200994,164.38625,87.70232,26.419735,1
62,1244,5.0252194,179.63332,95.582565,29.192509,1
62,1593,5.0252194,179.63332,95.582565,29.192509,1
63,189,1.0633464,52.269375,21.136223,9.043985,1
63,1775,11.775375,82.74048,46.43041,13.402468,1
64,196,37.339664,117.75942,74.15751,13.576868,1
64,73,1.440857,74.531265,38.231785,13.416404,1
65,66,1.440857,74.531265,38.231785,13.416404,1
65,93,51.546307,148.32951,98.88746,14.270149,1
65,1014,2.5741873,63.35772,33.628353,9.59573,1
66,67,2.5741873,63.35772,33.628353,9.59573,1
67,423,280.23456,424.84357,352.71283,28.847488,1
68,943,36.011692,143.34077,85.68465,18.627104,1
68,516,52.597088,110.44086,84.58846,10.535343,1
72,73,0.9796705,45.04055,19.434177,7.708303,1
72,659,1.2161717,26.975212,12.434591,4.373789,1
72,991,31.45837,165.88684,105.12004,29.932806,1
73,76,0.8351098,110.590355,47.13399,20.04874,1
73,671,1.0972809,51.325344,21.498194,9.743006,1
73,991,22.91073,174.27283,105.82365,30.87725,1
73,138,12.396168,99.94673,57.627052,15.061849,1
73,1000,1.7942978,50.697975,24.184126,8.995642,1
73,189,1.2479459,59.554485,23.019896,10.174891,1
73,423,267.96997,429.09497,349.631,30.760761,1
74,75,52.484253,186.05106,117.526215,25.39728,1
74,87,56.01213,174.11316,115.844,24.22587,1
74,92,34.32947,155.84682,97.12243,25.471098,1
74,423,156.5511,340.1072,245.98643,31.47836,1
74,1172,48.341293,158.78485,106.30572,25.902353,1
74,1163,27.907633,151.95964,88.4197,29.425598,1
74,752,18.186447,183.15343,106.542496,28.914629,1
74,1014,46.390446,180.49847,116.91992,25.187069,1
74,451,19.269339,153.08482,86.31772,28.09235,1
76,991,38.553204,230.85895,133.8514,35.638668,1
76,277,32.274994,162.97035,95.61316,22.75875,1
78,1205,32.274994,162.97035,95.61316,22.75875,1
78,666,1.5298822,94.16165,43.034637,17.026968,1
82,83,1.2620705,83.99363,43.434322,13.849382,1
82,2821,1.2620705,83.99363,43.434322,13.849382,1
82,2822,388.9061,603.6395,480.38565,49.682373,1
83,750,1.2446759,56.086506,24.467474,10.517106,1
87,114,10.1739025,101.56843,57.880943,16.093657,1
87,88,0.66866726,38.932194,15.579004,5.9953313,1
87,155,0.7510813,55.064297,26.570362,9.245416,1
87,759,0.7510813,55.064297,26.570362,9.245416,1
87,980,155.42807,183.38715,169.39093,6.093279,1
87,92,1.9832069,49.118107,27.16682,8.794072,1
87,314,22.469515,112.750145,63.64788,19.573103,1
91,92,25.930866,99.9393,61.99252,11.537834,1
92,246,1.4945862,78.96065,42.838284,13.797246,1
92,138,9.462678,83.015884,44.25492,10.855163,1
93,251,17.181889,112.29677,62.863544,14.555935,1
93,972,72.332954,161.30467,114.60506,12.881059,1
104,463,3.2459846,95.37832,60.967545,13.415117,1
107,134,2.9417303,115.55058,56.025528,28.133066,1
107,567,3.3991082,114.4865,58.53787,20.504808,1
107,163,50.987747,106.73797,73.303024,12.910938,1
107,532,6.9055886,61.798252,31.62146,8.336846,1
115,116,15.281386,193.11908,104.67249,29.95631,1
115,2155,74.551186,181.81117,131.64299,18.231874,1
116,1170,1.2387531,134.99484,49.976536,23.372044,1
116,1466,272.6066,477.62424,384.07883,31.621105,1
120,155,1.6643816,149.22891,73.863846,24.393091,1
120,135,4.963002,136.10744,72.40178,22.912733,1
120,1400,0.76896095,115.71108,54.435795,20.931036,1
123,124,419.35495,514.2138,469.18213,15.825152,1
123,169,0.43358037,59.99842,22.839684,9.055332,1
123,171,1.4770074,48.760143,20.939249,7.8929114,1
123,751,58.43555,260.7306,160.53188,37.3317,1
124,169,419.35495,514.2138,469.18213,15.825152,1
124,170,0.43358037,59.99842,22.839684,9.055332,1
124,171,1.4770074,48.760143,20.939249,7.8929114,1
124,218,58.43555,260.7306,160.53188,37.3317,1
124,751,1.9332802,83.633316,40.19661,14.414681,1
124,1480,346.46423,469.87726,408.14505,20.274008,1
124,1466,346.46423,469.87726,408.14505,20.274008,1
125,133,2.737797,119.17228,54.840622,25.97624,1
125,1627,26.58109,89.3667,57.619312,14.495757,1
125,1026,31.381226,157.12671,95.86038,20.78758,1
125,1484,16.683311,177.67285,75.30206,30.506187,1
127,196,1.2105902,179.30577,86.23156,32.01057,1
130,140,112.250595,211.27654,157.73096,17.447977,1
130,232,161.71277,264.69623,212.13121,17.60925,1
130,141,136.26718,216.02219,173.672,15.841738,1
130,252,184.16489,295.40118,237.09802,19.008837,1
130,139,62.23898,220.93678,140.19821,32.99969,1
130,557,147.74724,244.7825,194.29904,17.020512,1
130,558,138.54489,255.14322,195.18266,20.143269,1
130,562,138.54489,255.14322,195.18266,20.143269,1
130,439,128.76903,317.9344,206.70782,37.33916,1
130,710,123.92417,233.66698,173.80887,23.734026,1
130,980,211.75427,281.5074,245.66737,14.1024,1
131,132,36.35952,125.34123,77.92107,16.763346,1
132,162,79.934685,170.2357,123.234726,15.240878,1
132,359,42.24015,155.56297,92.67228,17.862524,1
133,432,1.1302552,101.3796,41.368607,21.78376,1
134,524,84.47368,154.30865,120.36586,11.452037,1
134,532,22.945362,106.47601,63.83539,20.620152,1
138,139,42.59721,141.51491,85.383156,14.938534,1
138,140,1.191508,90.50956,39.733322,14.121992,1
